run_id,iface,broker,port,mode,n_app,lam,qos,payload_bytes,duration_s,publish_count,semantic_updates,tx_bytes,tx_kbps,cpu_user_s,cpu_system_s,wall_s,idle_kbps_before,started_ns,ended_ns,rx_msgs,rx_bytes_payload,p50_ms,p95_ms,p99_ms,max_ms,mean_ms,cpu_total_s,idle_tx_bytes_est,tx_bytes_eff,s_wire_per_publish_B_raw,s_wire_per_publish_B,s_wire_per_update_B_raw,s_wire_per_update_B,tx_kbps_eff,expected_rx_msgs,rx_loss_ratio_raw,rx_loss_ratio,flag_missing_subscriber,flag_negative_latency,flag_busy_idle
wifi_full-055-1770417283,wlan0,192.168.2.100,1883,replication,50,10.0,1,256,60.0,30000.0,600.0,9040097.0,1205.345104332289,2.4800000000000004,0.15000000000000036,60.00005785900021,0.0,1770417283115217266,1770417343615279506,30000,7680000,8.033607,22.286796349999978,133.27905714,238.319201,11.717641052700001,2.630000000000001,0.0,9040097.0,301.33656666666667,301.33656666666667,15066.828333333333,15066.828333333333,1205.345104332289,30000.0,0.0,0.0,False,False,False
wifi_full-007-1770414307,wlan0,192.168.2.100,1883,replication,1,10.0,1,256,60.0,600.0,600.0,249448.0,33.25970004979719,0.09000000000000002,0.03,60.00006004299996,0.0,1770414307057638506,1770414367558005365,600,153600,4.388014999999999,16.50808855,216.37525463,220.92686,10.385125981666667,0.12000000000000002,0.0,249448.0,415.74666666666667,415.74666666666667,415.74666666666667,415.74666666666667,33.25970004979719,600.0,0.0,0.0,False,False,False
wifi_full-058-1770417469,wlan0,192.168.2.100,1883,replication,50,50.0,0,1024,60.0,150000.0,3000.0,164622741.0,21949.677365408326,4.039999999999999,0.009999999999999787,60.00005859200019,0.0,1770417469121329549,1770417529848767393,150000,153600000,22.577872499999998,92.80054435,186.73743060000018,280.75268,27.874190015286665,4.049999999999999,0.0,164622741.0,1097.48494,1097.48494,54874.247,54874.247,21949.677365408326,150000.0,0.0,0.0,False,False,False
wifi_full-057-1770417407,wlan0,192.168.2.100,1883,replication,50,50.0,0,256,60.0,150000.0,3000.0,44031137.0,5870.812599962644,3.240000000000002,1.2400000000000002,60.00005791400008,0.0,1770417407117410187,1770417467614488520,150000,38400000,3.786271,43.35164695,84.25307833000006,224.199493,12.102918842906668,4.480000000000002,0.0,44031137.0,293.5409133333333,293.5409133333333,14677.045666666667,14677.045666666667,5870.812599962644,150000.0,0.0,0.0,False,False,False
wifi_full-091-1770419515,wlan0,192.168.2.100,1883,uns,10,10.0,1,256,60.0,600.0,600.0,245556.0,32.74076891100287,0.0,0.13000000000000078,60.00005697300003,0.0,1770419515158934386,1770419575659397918,600,153600,1.959959,5.685642799999969,215.38198084,218.288255,6.711004515,0.13000000000000078,0.0,245556.0,409.26,409.26,409.26,409.26,32.74076891100287,600.0,0.0,0.0,False,False,False
wifi_full-037-1770416167,wlan0,192.168.2.100,1883,replication,20,2.0,0,256,60.0,2400.0,120.0,709750.0,94.63323910701668,0.08000000000000007,0.020000000000000018,60.0000597420003,0.0,1770416167094710459,1770416227595188217,2400,614400,6.035909999999999,30.477254049999992,47.479346129999996,219.666252,8.9865403725,0.10000000000000009,0.0,709750.0,295.7291666666667,295.7291666666667,5914.583333333333,5914.583333333333,94.63323910701668,2400.0,0.0,0.0,False,False,False
wifi_full-105-1770420383,wlan0,192.168.2.100,1883,uns,20,50.0,0,256,60.0,3000.0,3000.0,1020060.0,136.00786754193877,0.1700000000000017,0.05000000000000071,60.000058433999584,0.0,1770420383179044775,1770420443673188818,3000,768000,-1.007755,63.30959234999998,123.20767133999998,131.660715,5.3265462753333335,0.22000000000000242,0.0,1020060.0,340.02,340.02,340.02,340.02,136.00786754193877,3000.0,0.0,0.0,False,False,False
wifi_full-107-1770420507,wlan0,192.168.2.100,1883,uns,20,50.0,1,256,60.0,3000.0,3000.0,1025226.0,136.69666839756007,0.4099999999999966,0.08999999999999986,60.0000577640003,0.0,1770420507178532744,1770420567675732246,3000,768000,-0.554263,84.31027944999998,125.02717179999998,334.918709,8.587653326,0.49999999999999645,0.0,1025226.0,341.742,341.742,341.742,341.742,136.69666839756007,3000.0,0.0,0.0,False,False,False
wifi_full-117-1770421127,wlan0,192.168.2.100,1883,uns,50,50.0,0,256,60.0,3000.0,3000.0,1016670.0,135.55586320379973,0.1700000000000017,0.03999999999999915,60.00006054900041,0.0,1770421127191689010,1770421187687555838,3000,768000,-0.639527,43.579896899999994,123.35404128,128.259737,4.347797729333332,0.21000000000000085,0.0,1016670.0,338.89,338.89,338.89,338.89,135.55586320379973,3000.0,0.0,0.0,False,False,False
wifi_full-084-1770419081,wlan0,192.168.2.100,1883,uns,5,50.0,1,1024,60.0,3000.0,3000.0,3369356.0,449.24703115911285,0.0,0.5400000000000009,60.000058164999245,0.0,1770419081150873592,1770419141817339542,3000,3072000,-0.5145735,24.46167184999999,86.17341022999963,247.186789,3.611722961666667,0.5400000000000009,0.0,3369356.0,1123.1186666666667,1123.1186666666667,1123.1186666666667,1123.1186666666667,449.24703115911285,3000.0,0.0,0.0,False,False,False
